8..64....2.97.146...1.92..718...5............4.7......5...68.7....1...2...62.78..,875643912239781465641592387182475639953826741467319258524968173798134526316257894,easy
..531...21.3.8..492...4.1....14.9.3.8.........5...79............28.7...44...5....,945316782163782549287945163671429835892531476354867921716294358528173694439658217,easy
....1....6...432....7......3..9....2.....71.9.415..3......5....4..67....29....63.,834216795659743218127895463378961542562437189941528376716359824483672951295184637,easy
......2.7.467..1........4.........2......87.492......6.8249..1..1...78.9..56.....,358149267246735198179862453834576921561928734927314586782493615613257849495681372,easy
..5..76...36...42.....4.........321...3.5...7..2.7.8.....4..56......27..6.1....8.,415827639736519428289346175574983216863251947192674853927438561358162794641795382,easy
7.5..21...64....2....65.......5...6...2..8..7...4..89....27.5......94.1.....1.4.8,735942186164783925298651743817539264942168357356427891481276539573894612629315478,easy
.7...1..28.........3...6..8...2.59....3.6.....52387.....57.....28...3..9..6.12...,674831592829574631531926748168245973743169285952387164415798326287653419396412857,easy
67.........2....143.......289...3..6124.6..8........9.....4.73826.9..1......7....,671492853952387614348651972895713426124569387736824591519246738267938145483175269,easy
..436.2...5.8.97..8...5.63...2..7.6....9..8.35..4...2.7.....3..................4.,974361285653829714821754639392587461467912853518436927786145392245693178139278546,easy
..643279....5...6....79..3.....7....85.......927......7...58...59......3..42....8,186432795379581462245796831461873259853924617927165384712358946598647123634219578,easy
471...82...2....9.9......7.3.48..............8.94.2.1........3....2.7..4136.9.7..,471965823682743591953128476314876259725319648869452317247681935598237164136594782,easy
8.2.....567...58.1.........14......8........6283...7..3.478.1.27...1.54......6...,832167495679345821415928673146572938597834216283691754354789162768213549921456387,easy
....78....5.4.3.....7........3.6............449682..3.38....97.5..2..38..72..94.6,931678245258413769647592813713964528825731694496825137384156972569247381172389456,easy
2.56.1..994.5...6..3.2...7.76.....................53..5..9...21......49.....37..5,275641839948573162136298574764319258352486917891725346583964721617852493429137685,easy
4...6...529....7.1..3..9....574.23...3......6..2.....4...5..........6912...9..4..,478163295296854731513279648657412389134798526982635174329541867745386912861927453,easy
.8....6.929..18...4.7.2...13.....2.......9..8.16...7..........4..9...1827.....3..,185743629293618547467925831348157296572369418916482753851236974639574182724891365,easy
1.9.......8.........7...6...5......94.8.5..6..7618..4.3.5.4..7...4.6..15...9...8.,149726358683591724527438691251674839438259167976183542315842976894367215762915483,easy
1..7.....738.5....5........325.....4.......68....2....2..14.57..4...68.......84.3,194783652738652149562491387325867914479315268816924735283149576947536821651278493,easy
....7.56....9............7892.8....387..3....5..6..4.7..5..469....3...4.....52...,148273569357968214692415378926847153874531926513629487735184692281396745469752831,easy
..3.46...1.........5.8.1........3...73..28...8...7......1..584..652..73..8..3.65.,293746518148352976657891324529613487736428195814579263371965842965284731482137659,easy
.5.7....114..2.9..78...4..53..54.........3.8.59.1724.....95..7.............2.1...,253769841146825937789314625362548719417693582598172463831956274625437198974281356,easy
5.6...........1.....172....7...5......94....2...26..3...7..59134...3.2..16.....5.,526384791378591624941726385732859146659413872814267539287645913495138267163972458,easy
....4..5...2.63.1....5.9..43.7.......2..54..9.....16..17..2....6....5....4561....,968142357452763918731589264317296485826354179594871632173928546689435721245617893,easy
...176.....2.........2..38.18.9....3.2.3.8..65...2.9............93...2.....6..57.,358176492472839615619254387184965723927348156536721948765492831893517264241683579,easy
8...........7....1....4.6.7...58.2...........75....4.94..2.....17...486..8967.5..,827361945546792381931845627314589276692437158758126439465218793173954862289673514,easy
...1..27..4.........6.9.....8.....2..2.7..6.31....49.891.....64..3...71......23.9,398146275741523896256897431684935127529781643137264958912378564863459712475612389,easy
.9.....5.5.3...79...6.8.2.4.7.......3.27..485..8...6..24......7..76........8...2.,894237156523146798716985234479568312362791485158423679241359867987612543635874921,easy
....13......26.3......97..5.6......4......7..79..41563........9....3.4....3954.16,846513972957268341321497685568379124134625798792841563415786239689132457273954816,easy
6...195..19..7.4...4.6...8.....6.1.........75..5..8.39....4..........7.8..3......,638419527192875463547632981879563142326194875415728639981247356264351798753986214,easy
5....3....428.7...8..14.....2.3..5.......8....34.921....7.1.82.4.9........3..5..9,591623487342857916876149235928361574165478392734592168657914823489236751213785649,easy
4....7.9.......8.....45.1....5.....8.97..1.4..12....53...1.........9.5.7..4.32...,481627395526319874739458162645273918397581246812946753278165439163894527954732681,medium
1...3...7.........38.1.....5.6..1.....8.7..95....62.1.7.96..8.....8...2...5..9.3.,194236587652798143387145269546981372218374695973562418729613854431857926865429731,medium
.6..35.7.95....2.............12.......26.43...75..3..9.4...2...32....4....79.....,264135978953768241718429563631297854892654317475813629146382795329571486587946132,medium
...5....3.487.26..5.3.6.27..7.28.....8....9............5...9..4.2.85.3..4.7......,762591843148732659593468271379285416284617935615943782856379124921854367437126598,medium
8..6..4....61....3.4..831..2.3.45..669..2....5.......9......2.8.....1..4.5.......,831692475726154893945783162213945786698327541574816329467539218389271654152468937,medium
29.3............7.7....9.6...9..21.6.5....7......6...34.........72..654.....75.1.,296357481584621379731849265349782156658913724127564893415298637972136548863475912,medium
48.1...6...2.........45.83.3...2.......6..5.98..54..16156.................3.6..4.,487193265532876491691452837365921784714638529829547316156384972248719653973265148,medium
..19.4.......7...88962.1........2....73............96..6.7...4.98..1..3....4.9.8.,731984256425673198896251473549862317673195824218347965162738549984516732357429681,medium
.2.......8...2.......6.8....654.98...1..85.6........1..9...4..614...752.7....6.98,623541789874923651951678342265419837319785264487362915598234176146897523732156498,medium
.....9..5....4..69.39.6..1........41.97.84......3.........3.65.8..6........715...,764129385218543769539867214352976841197284536486351927971438652845692173623715498,medium
268.4......31.....7.4.6...2.....71....6..8..3.....47286.....9..9.2........7....3.,268745319593182467714369852829537146476218593351694728645823971932471685187956234,medium
.4.8..3....7...1..6.1..3..4....27.6..14.3678...5.4...2..............1....83..2...,942815376837264159651793824398527461214936785765148932426379518579681243183452697,medium
....86...5..37.19..4...58..1.3.5.........1..6.6.89.73...1....4.4........9.......3,719486325586372194342915867193657482874231956265894731631729548458163279927548613,medium
.....2.59.3.....7.8..9...2..5.....96.27...813..8.......8.2.6...2.65.3.......1.7..,764382159932154678815967324451738296627495813398621547189276435276543981543819762,medium
4.......3.1...2...3..1..7........3....5.1..4.7...4.9..87.9.1.....9.2....14..3...5,427895613916372584358164729294586371635719248781243956873951462569428137142637895,medium
......7..72...8.94...7...13...96..7......1...1.....8696....49.....8.743...12.....,314629758725138694869745213248963175976581342153472869687354921592817436431296587,medium
..7......2.....6...6...54....9.....63.....59....69..214...539....3...2..6.24....7,537946812214378659968125473149532786326817594785694321471253968893761245652489137,medium
..13.9...2.......3...18.49..6......7..3....46742..........41.8.97.........8.7.6..,451369872289754163637182495165498237893217546742635918326541789974826351518973624,medium
..6..3.753.2.6..4....4...8..1.2....3...3......7.....64.4.78.........58.....6.....,496813275382567941751429386814256793569374128273198564145782639637945812928631457,medium
...96..1..1..57.69.............83..5........1..3.2..78...2..89..82.9...7.7.3....2,258964713314857269796132584127683945865749321943521678431275896582496137679318452,medium
15.4..7........39.6.97..1.54.6.......35.....6.7...........3....3.1..74...94...8.1,153429768287516394649783125416352987835971246972648513528134679361897452794265831,medium
..5...641..8.......4..3..5..8..17...37.8.5..6........36.7....352.......4......7..,935782641168594327742631958486317592379825416521469873697148235253976184814253769,medium
